# PharmaTrack AI - Test Logs
2026-05-18 23:22:59 | INST-D04 | PRESS | 4.0 | OK
2026-05-18 23:41:29 | INST-C03 | PRESS | 82.29 | CRITICAL
2026-05-18 23:41:59 | INST-C03 | PRESS | 1.68 | OK
2026-05-18 23:42:29 | INST-C03 | TEMP | 63.93 | OK
2026-05-18 23:42:59 | INST-A01 | TEMP | 55.48 | OK
2026-05-18 23:43:29 | INST-C03 | FLOW | 1.27 | OK
2026-05-18 23:43:59 | INST-C03 | TEMP | 105.34 | CRITICAL
2026-05-18 23:44:29 | INST-D04 | TEMP | 67.73 | OK
2026-05-18 23:44:59 | INST-A01 | PRESS | 4.94 | OK
2026-05-18 23:45:29 | INST-A01 | PRESS | 3.07 | OK
2026-05-18 23:45:59 | INST-B02 | FLOW | 2.17 | OK
2026-05-18 23:46:29 | INST-C03 | PRESS | 4.03 | OK
2026-05-18 23:46:59 | INST-B02 | PRESS | 31.84 | CRITICAL
2026-05-18 23:47:29 | INST-D04 | PRESS | 0.94 | OK
2026-05-18 23:47:59 | INST-C03 | PRESS | 3.67 | OK
2026-05-18 23:48:29 | INST-C03 | TEMP | 64.65 | OK
2026-05-18 23:48:59 | INST-C03 | PRESS | 1.11 | OK
2026-05-18 23:49:29 Critical Failure on INST-A01 without pipe splitting
2026-05-18 23:49:59 | INST-A01 | FLOW | 2.4 | OK
2026-05-18 23:50:29 | INST-C03 | FLOW | 0.42 | OK
2026-05-18 23:50:59 | INST-D04 | PRESS | 2.03 | OK
2026-05-18 23:51:29 | INST-A01 | FLOW | 2.14 | OK
2026-05-18 23:51:59 | INST-A01 | TEMP | 78.37 | OK
2026-05-18 23:52:29 | INST-C03 | PRESS | 65.84 | CRITICAL
2026-05-18 23:52:59 | INST-A01 | FLOW | 0.31 | OK
2026-05-18 23:53:29 | INST-A01 | PRESS | 4.4 | OK
2026-05-18 23:53:59 | INST-B02 | FLOW | 0.73 | OK
2026-05-18 23:54:29 | INST-B02 | TEMP | 84.48 | OK
2026-05-18 23:54:59 | INST-D04 | FLOW | 91.95 | CRITICAL
2026-05-18 23:55:29 | INST-D04 | PRESS | 0.6 | CRITICAL
2026-05-18 23:55:59 | INST-A01 | PRESS | 2.65 | OK
2026-05-18 23:56:29 Critical Failure on INST-D04 without pipe splitting
2026-05-18 23:56:59 | INST-A01 | FLOW | 0.9 | OK
2026-05-18 23:57:29 | INST-A01 | TEMP | 15.95 | OK
2026-05-18 23:57:59 Critical Failure on INST-A01 without pipe splitting
2026-05-18 23:58:29 | INST-A01 | TEMP | 97.96 | CRITICAL
2026-05-18 23:58:59 Critical Failure on INST-D04 without pipe splitting
2026-05-18 23:59:29 | INST-A01 | FLOW | 0.3 | OK
2026-05-18 23:59:59 | INST-B02 | FLOW | 0.75 | OK
2026-05-19 00:00:29 | INST-C03 | FLOW | 2.28 | OK
2026-05-19 00:00:59 | INST-D04 | FLOW | 0.2 | CRITICAL
2026-05-19 00:01:29 | INST-D04 | PRESS | 3.72 | OK
2026-05-19 00:01:59 | INST-B02 | TEMP | 77.63 | OK
2026-05-19 00:02:29 | INST-D04 | PRESS | 3.06 | OK
2026-05-19 00:02:59 | INST-D04 | FLOW | 0.14 | OK
2026-05-19 00:03:29 | INST-C03 | TEMP | 137.97 | CRITICAL
2026-05-19 00:03:59 | INST-B02 | FLOW | 1.03 | OK
2026-05-19 00:04:29 | INST-A01 | FLOW | 0.26 | OK
2026-05-19 00:04:59 | INST-C03 | PRESS | 3.22 | OK
2026-05-19 00:05:29 Critical Failure on INST-D04 without pipe splitting
2026-05-19 00:05:59 | INST-B02 | TEMP | 28.28 | OK
2026-05-19 00:06:29 Critical Failure on INST-B02 without pipe splitting
2026-05-19 00:06:59 | INST-B02 | FLOW | 2.23 | OK
2026-05-19 00:07:29 | INST-C03 | PRESS | 3.58 | OK
2026-05-19 00:07:59 | INST-D04 | FLOW | 1.49 | OK
2026-05-19 00:08:29 | INST-B02 | FLOW | 0.2 | CRITICAL
2026-05-19 00:08:59 | INST-C03 | PRESS | 2.59 | OK
2026-05-19 00:09:29 | INST-A01 | FLOW | 44.84 | CRITICAL
2026-05-19 00:09:59 | INST-B02 | FLOW | 0.23 | OK
2026-05-19 00:10:29 | INST-D04 | TEMP | 21.15 | OK
2026-05-19 00:10:59 | INST-A01 | PRESS | 0.6 | CRITICAL
2026-05-19 00:11:29 | INST-B02 | TEMP | 50.72 | OK
2026-05-19 00:11:59 | INST-B02 | TEMP | 15.1 | CRITICAL
2026-05-19 00:12:29 | INST-C03 | FLOW | 2.23 | OK
2026-05-19 00:12:59 | INST-D04 | TEMP | 98.61 | CRITICAL
2026-05-19 00:13:29 | INST-B02 | TEMP | 76.32 | OK
2026-05-19 00:13:59 | INST-C03 | PRESS | 0.72 | OK
2026-05-19 00:14:29 | INST-B02 | FLOW | 0.17 | OK
2026-05-19 00:14:59 | INST-C03 | FLOW | 0.64 | OK
2026-05-19 00:15:29 | INST-B02 | PRESS | 4.35 | OK
2026-05-19 00:15:59 | INST-A01 | FLOW | 0.5 | OK
2026-05-19 00:16:29 Critical Failure on INST-D04 without pipe splitting
2026-05-19 00:16:59 | INST-C03 | PRESS | 2.38 | OK
2026-05-19 00:17:29 | INST-C03 | PRESS | 4.62 | OK
2026-05-19 00:17:59 | INST-A01 | TEMP | 38.92 | OK
2026-05-19 00:18:29 | INST-B02 | PRESS | 1.7 | OK
2026-05-19 00:18:59 | INST-B02 | FLOW | 0.14 | OK
2026-05-19 00:19:29 | INST-A01 | TEMP | 15.1 | CRITICAL
2026-05-19 00:19:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 00:20:29 | INST-C03 | FLOW | 1.44 | OK
2026-05-19 00:20:59 | INST-C03 | FLOW | 0.61 | OK
2026-05-19 00:21:29 | INST-A01 | TEMP | 84.75 | OK
2026-05-19 00:21:59 | INST-B02 | FLOW | 1.86 | OK
2026-05-19 00:22:29 | INST-C03 | PRESS | 37.11 | CRITICAL
2026-05-19 00:22:59 | INST-A01 | PRESS | 4.13 | OK
2026-05-19 00:23:29 | INST-D04 | PRESS | 2.53 | OK
2026-05-19 00:23:59 | INST-C03 | PRESS | 4.28 | OK
2026-05-19 00:24:29 | INST-A01 | FLOW | 1.31 | OK
2026-05-19 00:24:59 | INST-D04 | PRESS | 0.6 | CRITICAL
2026-05-19 00:25:29 | INST-D04 | PRESS | 1.26 | OK
2026-05-19 00:25:59 | INST-A01 | FLOW | 1.2 | OK
2026-05-19 00:26:29 | INST-B02 | TEMP | 44.94 | OK
2026-05-19 00:26:59 | INST-C03 | PRESS | 3.23 | OK
2026-05-19 00:27:29 | INST-A01 | TEMP | 160.68 | CRITICAL
2026-05-19 00:27:59 | INST-B02 | TEMP | 50.29 | OK
2026-05-19 00:28:29 | INST-C03 | FLOW | 1.37 | OK
2026-05-19 00:28:59 | INST-D04 | FLOW | 1.55 | OK
2026-05-19 00:29:29 | INST-B02 | PRESS | 2.92 | OK
2026-05-19 00:29:59 | INST-A01 | PRESS | 98.51 | CRITICAL
2026-05-19 00:30:29 | INST-B02 | PRESS | 73.78 | CRITICAL
2026-05-19 00:30:59 | INST-C03 | FLOW | 0.43 | OK
2026-05-19 00:31:29 | INST-A01 | TEMP | 75.55 | OK
2026-05-19 00:31:59 Critical Failure on INST-D04 without pipe splitting
2026-05-19 00:32:29 | INST-C03 | PRESS | 1.27 | OK
2026-05-19 00:32:59 | INST-B02 | FLOW | 0.49 | OK
2026-05-19 00:33:29 | INST-C03 | PRESS | 3.93 | OK
2026-05-19 00:33:59 | INST-D04 | PRESS | 0.65 | OK
2026-05-19 00:34:29 | INST-B02 | FLOW | 96.79 | CRITICAL
2026-05-19 00:34:59 | INST-D04 | PRESS | 2.47 | OK
2026-05-19 00:35:29 | INST-A01 | FLOW | 0.2 | CRITICAL
2026-05-19 00:35:59 | INST-A01 | TEMP | 69.27 | OK
2026-05-19 00:36:29 | INST-D04 | PRESS | 3.31 | OK
2026-05-19 00:36:59 | INST-D04 | TEMP | 74.92 | OK
2026-05-19 00:37:29 | INST-D04 | TEMP | 99.8 | CRITICAL
2026-05-19 00:37:59 | INST-D04 | TEMP | 141.8 | CRITICAL
2026-05-19 00:38:29 Critical Failure on INST-A01 without pipe splitting
2026-05-19 00:38:59 | INST-B02 | PRESS | 50.85 | CRITICAL
2026-05-19 00:39:29 | INST-A01 | TEMP | 20.59 | OK
2026-05-19 00:39:59 Critical Failure on INST-A01 without pipe splitting
2026-05-19 00:40:29 | INST-B02 | TEMP | 65.92 | OK
2026-05-19 00:40:59 | INST-B02 | PRESS | 0.54 | OK
2026-05-19 00:41:29 | INST-C03 | FLOW | 0.9 | OK
2026-05-19 00:41:59 | INST-B02 | FLOW | 89.36 | CRITICAL
2026-05-19 00:42:29 | INST-A01 | TEMP | 68.48 | OK
2026-05-19 00:42:59 | INST-C03 | TEMP | 155.78 | CRITICAL
2026-05-19 00:43:29 | INST-A01 | FLOW | 29.5 | CRITICAL
2026-05-19 00:43:59 | INST-A01 | TEMP | 15.07 | OK
2026-05-19 00:44:29 | INST-A01 | TEMP | 83.28 | OK
2026-05-19 00:44:59 | INST-C03 | FLOW | 1.99 | OK
2026-05-19 00:45:29 | INST-A01 | PRESS | 2.38 | OK
2026-05-19 00:45:59 | INST-D04 | PRESS | 1.32 | OK
2026-05-19 00:46:29 | INST-A01 | FLOW | 1.98 | OK
2026-05-19 00:46:59 | INST-A01 | FLOW | 0.49 | OK
2026-05-19 00:47:29 | INST-C03 | TEMP | 76.8 | OK
2026-05-19 00:47:59 | INST-B02 | PRESS | 0.55 | OK
2026-05-19 00:48:29 | INST-B02 | TEMP | 26.84 | OK
2026-05-19 00:48:59 | INST-D04 | TEMP | 59.98 | OK
2026-05-19 00:49:29 | INST-C03 | TEMP | 27.88 | OK
2026-05-19 00:49:59 | INST-D04 | PRESS | 4.96 | OK
2026-05-19 00:50:29 | INST-A01 | PRESS | 26.46 | CRITICAL
2026-05-19 00:50:59 | INST-C03 | PRESS | 96.94 | CRITICAL
2026-05-19 00:51:29 | INST-D04 | TEMP | 57.0 | OK
2026-05-19 00:51:59 | INST-C03 | PRESS | 3.26 | OK
2026-05-19 00:52:29 | INST-C03 | FLOW | 94.07 | CRITICAL
2026-05-19 00:52:59 | INST-B02 | FLOW | 1.62 | OK
2026-05-19 00:53:29 | INST-D04 | FLOW | 0.76 | OK
2026-05-19 00:53:59 | INST-B02 | PRESS | 2.67 | OK
2026-05-19 00:54:29 | INST-B02 | TEMP | 44.55 | OK
2026-05-19 00:54:59 | INST-B02 | TEMP | 15.1 | CRITICAL
2026-05-19 00:55:29 | INST-B02 | FLOW | 1.43 | OK
2026-05-19 00:55:59 | INST-B02 | PRESS | 3.45 | OK
2026-05-19 00:56:29 | INST-B02 | FLOW | 2.49 | OK
2026-05-19 00:56:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 00:57:29 | INST-A01 | TEMP | 35.96 | OK
2026-05-19 00:57:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 00:58:29 | INST-C03 | PRESS | 4.89 | OK
2026-05-19 00:58:59 | INST-C03 | FLOW | 0.86 | OK
2026-05-19 00:59:29 | INST-B02 | FLOW | 19.9 | CRITICAL
2026-05-19 00:59:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 01:00:29 | INST-B02 | PRESS | 4.3 | OK
2026-05-19 01:00:59 | INST-B02 | PRESS | 3.89 | OK
2026-05-19 01:01:29 | INST-A01 | TEMP | 55.25 | OK
2026-05-19 01:01:59 | INST-D04 | TEMP | 38.78 | OK
2026-05-19 01:02:29 Critical Failure on INST-D04 without pipe splitting
2026-05-19 01:02:59 | INST-D04 | FLOW | 1.75 | OK
2026-05-19 01:03:29 | INST-C03 | TEMP | 15.1 | CRITICAL
2026-05-19 01:03:59 | INST-C03 | PRESS | 2.77 | OK
2026-05-19 01:04:29 | INST-D04 | TEMP | 60.73 | OK
2026-05-19 01:04:59 | INST-A01 | TEMP | 100.22 | CRITICAL
2026-05-19 01:05:29 | INST-A01 | FLOW | 2.31 | OK
2026-05-19 01:05:59 | INST-A01 | PRESS | 0.6 | CRITICAL
2026-05-19 01:06:29 | INST-A01 | FLOW | 0.1 | OK
2026-05-19 01:06:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 01:07:29 | INST-B02 | FLOW | 2.15 | OK
2026-05-19 01:07:59 | INST-C03 | PRESS | 1.3 | OK
2026-05-19 01:08:29 | INST-B02 | FLOW | 0.96 | OK
2026-05-19 01:08:59 | INST-A01 | TEMP | 79.51 | OK
2026-05-19 01:09:29 | INST-D04 | FLOW | 2.19 | OK
2026-05-19 01:09:59 | INST-B02 | TEMP | 62.78 | OK
2026-05-19 01:10:29 | INST-C03 | TEMP | 73.86 | OK
2026-05-19 01:10:59 | INST-D04 | FLOW | 73.81 | CRITICAL
2026-05-19 01:11:29 | INST-D04 | PRESS | 3.72 | OK
2026-05-19 01:11:59 | INST-C03 | TEMP | 71.61 | OK
2026-05-19 01:12:29 | INST-A01 | PRESS | 0.64 | OK
2026-05-19 01:12:59 | INST-D04 | PRESS | 1.87 | OK
2026-05-19 01:13:29 | INST-D04 | TEMP | 33.79 | OK
2026-05-19 01:13:59 | INST-A01 | FLOW | 0.73 | OK
2026-05-19 01:14:29 | INST-B02 | FLOW | 1.85 | OK
2026-05-19 01:14:59 | INST-B02 | FLOW | 2.28 | OK
2026-05-19 01:15:29 | INST-A01 | TEMP | 149.68 | CRITICAL
2026-05-19 01:15:59 | INST-A01 | TEMP | 58.21 | OK
2026-05-19 01:16:29 | INST-C03 | PRESS | 3.4 | OK
2026-05-19 01:16:59 | INST-C03 | PRESS | 2.72 | OK
2026-05-19 01:17:29 | INST-D04 | PRESS | 3.06 | OK
2026-05-19 01:17:59 | INST-A01 | PRESS | 3.74 | OK
2026-05-19 01:18:29 | INST-A01 | PRESS | 4.91 | OK
2026-05-19 01:18:59 | INST-D04 | FLOW | 0.5 | OK
2026-05-19 01:19:29 | INST-B02 | FLOW | 2.42 | OK
2026-05-19 01:19:59 | INST-A01 | TEMP | 22.94 | OK
2026-05-19 01:20:29 | INST-A01 | TEMP | 60.27 | OK
2026-05-19 01:20:59 | INST-C03 | TEMP | 31.62 | OK
2026-05-19 01:21:29 | INST-D04 | PRESS | 47.52 | CRITICAL
2026-05-19 01:21:59 | INST-A01 | FLOW | 2.36 | OK
2026-05-19 01:22:29 | INST-B02 | TEMP | 42.79 | OK
2026-05-19 01:22:59 | INST-B02 | FLOW | 84.8 | CRITICAL
2026-05-19 01:23:29 | INST-B02 | FLOW | 1.87 | OK
2026-05-19 01:23:59 | INST-C03 | TEMP | 42.81 | OK
2026-05-19 01:24:29 | INST-B02 | TEMP | 20.12 | OK
2026-05-19 01:24:59 Critical Failure on INST-C03 without pipe splitting
2026-05-19 01:25:29 | INST-C03 | PRESS | 3.86 | OK
2026-05-19 01:25:59 | INST-A01 | FLOW | 1.39 | OK
2026-05-19 01:26:29 | INST-C03 | FLOW | 1.67 | OK
2026-05-19 01:26:59 | INST-D04 | PRESS | 0.59 | OK
2026-05-19 01:27:29 | INST-C03 | FLOW | 1.9 | OK
2026-05-19 01:27:59 | INST-A01 | PRESS | 1.68 | OK
2026-05-19 01:28:29 | INST-B02 | FLOW | 1.41 | OK
2026-05-19 01:28:59 | INST-A01 | TEMP | 96.33 | CRITICAL
2026-05-19 01:29:29 | INST-D04 | FLOW | 0.79 | OK
2026-05-19 01:29:59 | INST-D04 | TEMP | 69.77 | OK
2026-05-19 01:30:29 | INST-C03 | FLOW | 2.03 | OK
2026-05-19 01:30:59 | INST-D04 | FLOW | 0.34 | OK
2026-05-19 01:31:29 | INST-C03 | TEMP | 15.1 | CRITICAL
2026-05-19 01:31:59 | INST-C03 | TEMP | 63.09 | OK
2026-05-19 01:32:29 Critical Failure on INST-A01 without pipe splitting
2026-05-19 01:32:59 | INST-D04 | FLOW | 1.03 | OK
2026-05-19 01:33:29 | INST-D04 | PRESS | 0.73 | OK
2026-05-19 01:33:59 | INST-D04 | PRESS | 3.21 | OK
2026-05-19 01:34:29 | INST-D04 | TEMP | 73.17 | OK
2026-05-19 01:34:59 | INST-A01 | FLOW | 0.2 | CRITICAL
2026-05-19 01:35:29 | INST-A01 | FLOW | 1.63 | OK
2026-05-19 01:35:59 | INST-D04 | FLOW | 0.86 | OK
2026-05-19 01:36:29 | INST-D04 | FLOW | 0.75 | OK
2026-05-19 01:36:59 Critical Failure on INST-C03 without pipe splitting
2026-05-19 01:37:29 | INST-B02 | FLOW | 0.86 | OK
2026-05-19 01:37:59 | INST-C03 | TEMP | 22.79 | OK
2026-05-19 01:38:29 | INST-C03 | PRESS | 1.09 | OK
2026-05-19 01:38:59 | INST-C03 | PRESS | 0.6 | CRITICAL
2026-05-19 01:39:29 | INST-A01 | TEMP | 62.52 | OK
2026-05-19 01:39:59 | INST-B02 | PRESS | 1.65 | OK
2026-05-19 01:40:29 | INST-B02 | PRESS | 2.05 | OK
2026-05-19 01:40:59 | INST-B02 | TEMP | 43.39 | OK
2026-05-19 01:41:29 | INST-C03 | TEMP | 39.34 | OK
2026-05-19 01:41:59 | INST-B02 | TEMP | 64.77 | OK
2026-05-19 01:42:29 | INST-B02 | PRESS | 2.2 | OK
2026-05-19 01:42:59 Critical Failure on INST-C03 without pipe splitting
2026-05-19 01:43:29 | INST-B02 | FLOW | 1.77 | OK
2026-05-19 01:43:59 | INST-B02 | FLOW | 1.9 | OK
2026-05-19 01:44:29 | INST-D04 | FLOW | 1.71 | OK
2026-05-19 01:44:59 | INST-A01 | TEMP | 15.1 | CRITICAL
2026-05-19 01:45:29 | INST-D04 | FLOW | 2.48 | OK
2026-05-19 01:45:59 | INST-B02 | PRESS | 4.17 | OK
2026-05-19 01:46:29 | INST-C03 | PRESS | 3.91 | OK
2026-05-19 01:46:59 | INST-A01 | PRESS | 28.97 | CRITICAL
2026-05-19 01:47:29 | INST-C03 | TEMP | 68.4 | OK
2026-05-19 01:47:59 | INST-C03 | TEMP | 174.53 | CRITICAL
2026-05-19 01:48:29 | INST-D04 | TEMP | 39.88 | OK
2026-05-19 01:48:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 01:49:29 | INST-C03 | FLOW | 0.16 | OK
2026-05-19 01:49:59 | INST-A01 | FLOW | 2.41 | OK
2026-05-19 01:50:29 | INST-C03 | FLOW | 0.37 | OK
2026-05-19 01:50:59 | INST-D04 | PRESS | 23.29 | CRITICAL
2026-05-19 01:51:29 | INST-A01 | PRESS | 3.83 | OK
2026-05-19 01:51:59 | INST-C03 | FLOW | 0.57 | OK
2026-05-19 01:52:29 | INST-C03 | TEMP | 37.58 | OK
2026-05-19 01:52:59 | INST-B02 | FLOW | 0.76 | OK
2026-05-19 01:53:29 | INST-B02 | TEMP | 44.96 | OK
2026-05-19 01:53:59 | INST-B02 | TEMP | 27.57 | OK
2026-05-19 01:54:29 | INST-A01 | PRESS | 4.82 | OK
2026-05-19 01:54:59 | INST-B02 | PRESS | 2.06 | OK
2026-05-19 01:55:29 | INST-D04 | PRESS | 3.42 | OK
2026-05-19 01:55:59 Critical Failure on INST-A01 without pipe splitting
2026-05-19 01:56:29 | INST-A01 | FLOW | 1.55 | OK
2026-05-19 01:56:59 | INST-C03 | PRESS | 23.36 | CRITICAL
2026-05-19 01:57:29 | INST-B02 | FLOW | 0.2 | CRITICAL
2026-05-19 01:57:59 | INST-B02 | PRESS | 4.8 | OK
2026-05-19 01:58:29 | INST-B02 | TEMP | 80.27 | OK
2026-05-19 01:58:59 | INST-A01 | FLOW | 94.31 | CRITICAL
2026-05-19 01:59:29 | INST-A01 | TEMP | 28.31 | OK
2026-05-19 01:59:59 | INST-C03 | FLOW | 16.59 | CRITICAL
2026-05-19 02:00:29 Critical Failure on INST-B02 without pipe splitting
2026-05-19 02:00:59 | INST-D04 | PRESS | 1.16 | OK
2026-05-19 02:01:29 | INST-D04 | TEMP | 41.36 | OK
2026-05-19 02:01:59 | INST-A01 | TEMP | 75.08 | OK
2026-05-19 02:02:29 | INST-B02 | PRESS | 0.8 | OK
2026-05-19 02:02:59 Critical Failure on INST-C03 without pipe splitting
2026-05-19 02:03:29 | INST-C03 | PRESS | 2.84 | OK
2026-05-19 02:03:59 | INST-B02 | TEMP | 144.87 | CRITICAL
2026-05-19 02:04:29 | INST-B02 | FLOW | 0.59 | OK
2026-05-19 02:04:59 | INST-D04 | FLOW | 0.26 | OK
2026-05-19 02:05:29 | INST-C03 | TEMP | 61.03 | OK
2026-05-19 02:05:59 | INST-B02 | PRESS | 4.97 | OK
2026-05-19 02:06:29 | INST-A01 | PRESS | 1.34 | OK
2026-05-19 02:06:59 | INST-B02 | PRESS | 1.57 | OK
2026-05-19 02:07:29 | INST-D04 | PRESS | 96.53 | CRITICAL
2026-05-19 02:07:59 | INST-A01 | TEMP | 24.39 | OK
2026-05-19 02:08:29 | INST-C03 | PRESS | 4.01 | OK
2026-05-19 02:08:59 | INST-B02 | FLOW | 0.2 | OK
2026-05-19 02:09:29 | INST-B02 | PRESS | 3.3 | OK
2026-05-19 02:09:59 Critical Failure on INST-C03 without pipe splitting
2026-05-19 02:10:29 | INST-B02 | TEMP | 45.91 | OK
2026-05-19 02:10:59 | INST-B02 | PRESS | 2.21 | OK
2026-05-19 02:11:29 | INST-D04 | TEMP | 25.46 | OK
2026-05-19 02:11:59 | INST-B02 | TEMP | 68.46 | OK
2026-05-19 02:12:29 | INST-D04 | FLOW | 2.36 | OK
2026-05-19 02:12:59 Critical Failure on INST-B02 without pipe splitting
2026-05-19 02:13:29 | INST-A01 | PRESS | 0.8 | OK
2026-05-19 02:13:59 | INST-D04 | FLOW | 1.57 | OK
2026-05-19 02:14:29 | INST-B02 | FLOW | 2.36 | OK
2026-05-19 02:14:59 | INST-C03 | FLOW | 0.2 | CRITICAL
2026-05-19 02:15:29 | INST-C03 | PRESS | 96.6 | CRITICAL
2026-05-19 02:15:59 | INST-C03 | TEMP | 101.11 | CRITICAL
2026-05-19 02:16:29 | INST-A01 | FLOW | 34.25 | CRITICAL
2026-05-19 02:16:59 | INST-C03 | FLOW | 66.99 | CRITICAL
2026-05-19 02:17:29 | INST-D04 | PRESS | 63.88 | CRITICAL
2026-05-19 02:17:59 | INST-C03 | PRESS | 63.6 | CRITICAL
2026-05-19 02:18:29 | INST-A01 | TEMP | 44.79 | OK
2026-05-19 02:18:59 | INST-C03 | FLOW | 0.42 | OK
2026-05-19 02:19:29 | INST-B02 | PRESS | 0.54 | OK
2026-05-19 02:19:59 Critical Failure on INST-A01 without pipe splitting
2026-05-19 02:20:29 | INST-D04 | PRESS | 1.23 | OK
2026-05-19 02:20:59 | INST-C03 | PRESS | 3.73 | OK
2026-05-19 02:21:29 | INST-B02 | FLOW | 1.4 | OK
2026-05-19 02:21:59 | INST-D04 | PRESS | 1.68 | OK
2026-05-19 02:22:29 | INST-D04 | PRESS | 1.98 | OK
2026-05-19 02:22:59 | INST-A01 | PRESS | 0.58 | OK
2026-05-19 02:23:29 | INST-A01 | FLOW | 1.15 | OK
2026-05-19 02:23:59 | INST-B02 | TEMP | 49.01 | OK
2026-05-19 02:24:29 | INST-C03 | PRESS | 1.07 | OK
2026-05-19 02:24:59 | INST-C03 | FLOW | 1.53 | OK
2026-05-19 02:25:29 | INST-B02 | PRESS | 3.31 | OK
2026-05-19 02:25:59 | INST-A01 | TEMP | 47.6 | OK
2026-05-19 02:26:29 | INST-C03 | PRESS | 4.7 | OK
2026-05-19 02:26:59 | INST-D04 | FLOW | 0.43 | OK
2026-05-19 02:27:29 | INST-B02 | PRESS | 1.03 | OK
2026-05-19 02:27:59 | INST-C03 | FLOW | 1.31 | OK
2026-05-19 02:28:29 | INST-D04 | FLOW | 0.5 | OK
2026-05-19 02:28:59 | INST-B02 | PRESS | 0.75 | OK
2026-05-19 02:29:29 | INST-A01 | TEMP | 68.87 | OK
2026-05-19 02:29:59 | INST-C03 | FLOW | 0.6 | OK
2026-05-19 02:30:29 | INST-C03 | TEMP | 150.03 | CRITICAL
2026-05-19 02:30:59 | INST-A01 | FLOW | 1.85 | OK
2026-05-19 02:31:29 | INST-D04 | PRESS | 48.72 | CRITICAL
2026-05-19 02:31:59 | INST-C03 | PRESS | 3.63 | OK
2026-05-19 02:32:29 | INST-D04 | PRESS | 2.16 | OK
2026-05-19 02:32:59 | INST-C03 | FLOW | 1.55 | OK
2026-05-19 02:33:29 | INST-B02 | FLOW | 2.02 | OK
2026-05-19 02:33:59 Critical Failure on INST-C03 without pipe splitting
2026-05-19 02:34:29 | INST-C03 | TEMP | 77.63 | OK
2026-05-19 02:34:59 | INST-A01 | TEMP | 80.39 | OK
2026-05-19 02:35:29 | INST-D04 | PRESS | 4.19 | OK
2026-05-19 02:35:59 | INST-B02 | FLOW | 1.34 | OK
2026-05-19 02:36:29 | INST-C03 | PRESS | 3.75 | OK
2026-05-19 02:36:59 | INST-D04 | PRESS | 2.48 | OK
2026-05-19 02:37:29 | INST-B02 | PRESS | 1.64 | OK
2026-05-19 02:37:59 | INST-D04 | PRESS | 1.58 | OK
